genome_ID,assembly_accession,organism_name,superkingdom,phylum,class,order,family,genus,genome_size,proteins,completeness,contamination,nif_type,oxygen_discrete,oxygen_numeric,temperature,temp_discrete,pH,pH_discrete,habitat,habitat_richness,metabolic_richness,gene_number,gene_complexity,root_distance
G000015125,GCF_000015125.1,Chlorobium phaeobacteroides DSM 266,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,3.133902,2891,99.45,0,nif,anaerobe,2,34.6,Mesophile,6.1,Neutrophile,Freshwater,0.04,0.175257732,32,0.344086022,0.828687672
G001516055,GCA_001516055.1,Gracilibacter sp. BRH_c7a,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter,4.105436,3997,96.21,3.02,nif,anaerobe,2,38.3,Mesophile,6.1,Neutrophile,Freshwater,0.06,0.226804124,32,0.344086022,0.696474449
G900116035,GCA_900116035.1,Paenibacillus sp. cl130,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.914839,5180,99.85,0,nif,NA,NA,32.6,Mesophile,6.2,Neutrophile,Plant,0,0.319587629,30,0.322580645,0.773810857
G000686825,GCF_000686825.1,Paenibacillus sp. UNCCL52,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.913251,5189,99.85,0,nif,facultative,3,32.6,Mesophile,6.2,Neutrophile,Plant,0,0.319587629,30,0.322580645,0.775335414
G001029295,GCF_001029295.1,Peptococcaceae bacterium CEB3,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,0,5.306296,5136,98.28,4.21,nif,anaerobe,2,39.7,Mesophile,6.2,Neutrophile,Plant,0.07,0.195876289,32,0.344086022,0.664731569
G000145615,GCF_000145615.1,Thermoanaerobacterium thermosaccharolyticum DSM 571,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,2.785752,2754,99.4,0.48,nif,anaerobe,2,47.8,Thermophile,6.3,Neutrophile,Freshwater,0.02,0.170103093,36,0.387096774,0.62980306
G000426545,GCF_000426545.1,Paenibacillus panacisoli DSM 21345,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,6.326414,5596,99.85,0,nif,aerobe,1,37,Mesophile,6.5,Neutrophile,Terrestrial,0.14,0.340206186,30,0.322580645,0.771248982
G900141895,GCF_900141895.1,Parasporobacterium paucivorans DSM 15970,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Parasporobacterium,2.443757,2388,99.33,0.67,nif,anaerobe,2,38.1,Mesophile,6.5,Neutrophile,Freshwater,0.12,0.139175258,34,0.365591398,0.97423398
G000010785,GCF_000010785.1,Hydrogenobacter thermophilus TK-6,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,1.743135,1905,98.78,0.51,nif,aerobe,1,72.5,Thermophile,6.6,Neutrophile,Hydrothermal,0.01,0.154639175,32,0.344086022,0.815478103
G000520755,GCF_000520755.1,Paenibacillus sp. 1-18,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.401554,5427,99.85,0.59,nif,NA,NA,33.3,Mesophile,6.7,Neutrophile,Plant,0.12,0.345360825,30,0.322580645,0.776217159
G001705305,GCF_001705305.1,Paenibacillus kribbensis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,6.150005,5583,99.85,0,nif,aerobe,1,33.2,Mesophile,6.7,Neutrophile,Plant,0.16,0.324742268,30,0.322580645,0.780553737
G001314865,GCA_001314865.1,Phormidesmis priestleyi Ana,Bacteria,Cyanobacteria,0,Synechococcales,Leptolyngbyaceae,Phormidesmis,5.928357,4993,99.18,1.22,nif,aerobe,1,31.1,Mesophile,6.7,Neutrophile,Saline,NA,0.211340206,32,0.344086022,0.774833494
G000341395,GCF_000341395.1,Desulfocapsa sulfexigens DSM 10523,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,4.023512,3556,98.13,1.39,nif,anaerobe,2,32,Mesophile,6.7,Neutrophile,Plant,0.09,0.18556701,32,0.344086022,0.862381734
G900102215,GCA_900102215.1,Fontibacillus panacisegetis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Fontibacillus,5.264638,4792,99.85,0.78,anf,facultative,3,25,Mesophile,7,Neutrophile,Terrestrial,0.11,0.31443299,31,0.333333333,0.760839633
G000164905,GCF_000164905.1,Hydrogenobacter thermophilus TK-6,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,1.742932,1902,98.78,0.51,nif,aerobe,1,72.5,Thermophile,7,Neutrophile,Hydrothermal,0.01,0.154639175,32,0.344086022,0.815523659
G000178835,GCF_000178835.2,Clostridium lentocellum DSM 5427,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,4.714237,4258,97.99,3.36,nif,anaerobe,2,36.5,Mesophile,7,Neutrophile,Host-associated,0.04,0.226804124,35,0.376344086,0.809730441
G000183135,GCF_000183135.1,Paludibacter propionicigenes WB4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,3.685504,3071,100,0.54,anf,anaerobe,2,31.1,Mesophile,7.1,Neutrophile,Terrestrial,0.17,0.175257732,36,0.387096774,1.14293795
G000747095,GCA_000747095.1,Sulfuricurvum sp. MLSB,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,2.107395,2306,98.37,1.02,nif,facultative,3,33.6,Mesophile,7.1,Neutrophile,Freshwater,0,0.164948454,31,0.333333333,0.944557281
G000426485,GCF_000426485.1,Dysgonomonas capnocytophagoides DSM 22835,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,4.377988,3576,100,0,anf,anaerobe,2,33.4,Mesophile,7.3,Neutrophile,Host-associated,0.03,0.175257732,36,0.387096774,1.222905251
G000017805,GCF_000017805.1,Roseiflexus castenholzii DSM 13941,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,5.723298,4907,99.69,0,nif,anaerobe,2,50,Thermophile,7.8,Neutrophile,Hydrothermal,0.02,0.24742268,33,0.35483871,0.682568383
G001457415,GCF_001457415.1,Gorillibacterium sp. SN4,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Gorillibacterium,5.263775,4714,97.54,1.18,anf,facultative,3,33.9,Mesophile,5.6,Neutrophile,Host-associated,0.05,0.31443299,34,0.365591398,0.732093063
G000686725,GCF_000686725.1,Clostridium akagii DSM 12554,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,4.589511,4383,97.93,3.79,anf,anaerobe,2,33.9,Mesophile,5.7,Neutrophile,Terrestrial,0.11,0.226804124,37,0.397849462,0.868730104
G000970005,GCF_000970005.1,Methanosarcina sp. WH1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,3.914091,3449,99.84,0,nif,anaerobe,2,39.5,Mesophile,5.9,Neutrophile,Terrestrial,0.13,0.170103093,34,0.365591398,0.850940614
G000969965,GCF_000969965.1,Methanosarcina sp. WWM596,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.137337,3668,99.84,0,nif,anaerobe,2,39.1,Mesophile,5.9,Neutrophile,Terrestrial,0.13,0.170103093,34,0.365591398,0.860928336
G000504205,GCF_000504205.1,Methanolobus tindarius DSM 2278,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,3.151883,2955,99.67,0,nif,anaerobe,2,32.6,Mesophile,6.2,Neutrophile,Saline,0.01,0.18556701,34,0.365591398,0.859870766
G000196135,GCF_000196135.1,Wolinella succinogenes DSM 1740,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Wolinella,2.110355,2079,99.41,0.42,nif,anaerobe,2,36.2,Mesophile,6.3,Neutrophile,Host-associated,0.01,0.170103093,32,0.344086022,0.871319333
G000024205,GCF_000024205.1,Desulfotomaculum acetoxidans DSM 771,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,4.545624,4300,99.27,0.16,nif,anaerobe,2,42,Mesophile,6.4,Neutrophile,Terrestrial,0.01,0.180412371,34,0.365591398,0.641745964
G001830745,GCA_001830745.1,Sulfuricurvum sp. RIFOXYD2_FULL_44_160,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,2.176059,2542,95.08,4.21,nif,anaerobe,2,28.9,Mesophile,6.7,Neutrophile,Terrestrial,NA,0.201030928,33,0.35483871,0.962247776
G000381065,GCF_000381065.1,Propionispira raffinosivorans DSM 20765,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Propionispira,4.134382,3863,99.91,3.16,anf,anaerobe,2,34.6,Mesophile,6.8,Neutrophile,Terrestrial,0.01,0.211340206,34,0.365591398,0.640482905
G001871315,GCA_001871315.1,Helicobacteraceae bacterium CG1_02_36_14,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,2.318166,2428,100,1.06,nif,anaerobe,2,28.1,Mesophile,6.8,Neutrophile,Freshwater,NA,0.190721649,32,0.344086022,1.012447154
G000013345,GCF_000013345.1,Frankia casuarinae,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,5.433628,4786,99.59,1.31,nif,aerobe,1,31.8,Mesophile,6.9,Neutrophile,Plant,0.28,0.226804124,33,0.35483871,0.915739775
G001829605,GCA_001829605.1,Sulfuricurvum sp. RIFCSPLOWO2_12_FULL_43_24,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,2.305037,2411,96.86,1.89,nif,anaerobe,2,28.6,Mesophile,6.9,Neutrophile,Terrestrial,NA,0.175257732,32,0.344086022,0.963975276
G000403135,GCF_000403135.1,Arcticibacter svalbardensis MN12-7,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,4.687695,4220,99.52,0.24,nif,aerobe,1,18,Mesophile,7,Neutrophile,Terrestrial,0.1,0.216494845,35,0.376344086,1.008676906
G000717475,GCF_000717475.1,Desulfonatronum thiodismutans,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,3.923654,3513,99.98,0,nif,anaerobe,2,37,Mesophile,7,Neutrophile,Terrestrial,0.02,0.175257732,33,0.35483871,0.82071853
G000022265,GCF_000022265.1,Geobacter daltonii FRC-32,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,4.304501,3834,99.35,0,nif,anaerobe,2,30,Mesophile,7,Neutrophile,Freshwater,0.13,0.211340206,33,0.35483871,0.694180066
G001042715,GCF_001042715.1,Clostridium aceticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,4.207037,3890,99.29,0.71,nif,anaerobe,2,30,Mesophile,7.2,Neutrophile,Host-associated,0.02,0.216494845,33,0.35483871,0.781812498
G900100715,GCA_900100715.1,Methanolobus vulcani,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,2.947907,2827,99.51,0,nif,anaerobe,2,40,Mesophile,7.2,Neutrophile,Saline,0.02,0.180412371,34,0.365591398,0.864759152
G000428125,GCF_000428125.1,Bacteroides graminisolvens DSM 19988 = JCM 15093,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,3.633399,3093,96.8,0.61,nif,anaerobe,2,33,Mesophile,7.2,Neutrophile,Terrestrial,0.15,0.170103093,37,0.397849462,1.215050109
G000686525,GCF_000686525.1,Desulfonatronovibrio hydrogenovorans DSM 9292,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonatronovibrio,2.939696,2745,100,1.09,nif,anaerobe,2,37,Mesophile,9.6,Alkaliphile,Terrestrial,0.01,0.190721649,33,0.35483871,0.841123229
G000953475,GCF_000953475.1,Methylacidiphilum fumariolicum SolV,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,2.476671,2255,99.32,1.01,nif,aerobe,1,46.2,Thermophile,2,Acidophile,Hydrothermal,0,0.154639175,34,0.365591398,0.902567243
G000255115,GCF_000255115.2,Desulfosporosinus acidiphilus SJ4,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,4.991181,4657,99.49,2.41,nif,anaerobe,2,30,Mesophile,5.2,Acidophile,Freshwater,0.08,0.206185567,35,0.376344086,0.707762995
G000020385,GCF_000020385.1,Geobacter lovleyi SZ,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,3.994874,3718,99.68,0.65,nif,anaerobe,2,32.5,Mesophile,5.4,Acidophile,Freshwater,0.14,0.201030928,34,0.365591398,0.692414119
G001029285,GCF_001029285.1,Desulfosporosinus acididurans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,4.637866,4454,99.43,2.11,nif,anaerobe,2,35.2,Mesophile,5.5,Acidophile,Freshwater,0.02,0.206185567,35,0.376344086,0.716569198
G000058485,GCF_000058485.1,Frankia alni ACN14a,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,7.497934,6084,99.65,1.09,nif,aerobe,1,28,Mesophile,5.7,Neutrophile,Plant,0.29,0.262886598,34,0.365591398,0.895259427
G000743525,GCA_000743525.1,Sulfurospirillum sp. SCADC,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,2.661738,2728,100,0.97,nif,facultative,3,31.2,Mesophile,6,Neutrophile,Freshwater,0.01,0.154639175,33,0.35483871,0.883252634
G000813145,GCF_000813145.1,Geobacter sp. OR-1,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,4.554266,4157,99.33,0.65,nif,anaerobe,2,29.6,Mesophile,6.1,Neutrophile,Freshwater,0.13,0.201030928,34,0.365591398,0.657108202
G000510645,GCF_000510645.1,Thermicanus aegyptius DSM 12793,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales Family X. Incertae Sedis,Thermicanus,3.657623,3535,97.69,1.54,nif,anaerobe,2,44.6,Mesophile,6.3,Neutrophile,Terrestrial,0,0.273195876,33,0.35483871,0.623542966
G000613065,GCA_000613065.1,Richelia intracellularis,Bacteria,Cyanobacteria,0,Nostocales,Nostocaceae,Richelia,5.488377,7703,94.34,1.85,nif,aerobe,1,33.6,Mesophile,6.5,Neutrophile,Saline,0.08,0.221649485,35,0.376344086,0.858069962
G000242935,GCF_000242935.2,Opitutaceae bacterium TAV5,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,0,7.417673,6010,100,0.23,anf,facultative,3,27.9,Mesophile,6.5,Neutrophile,Host-associated,0.12,0.18556701,38,0.408602151,0.865507963
G000687555,GCF_000687555.1,[Clostridium] aerotolerans DSM 5434,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,4.732373,4300,99.37,0,nif,anaerobe,2,33.7,Mesophile,6.5,Neutrophile,Host-associated,0.19,0.154639175,36,0.387096774,0.977135649
G000421105,GCF_000421105.1,Geovibrio sp. L21-Ace-BES,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Geovibrio,2.971658,2719,99.14,0,nif,NA,NA,38.8,Mesophile,6.8,Neutrophile,Saline,0,0.206185567,35,0.376344086,0.694847158
G000519265,GCF_000519265.1,Desulfonatronum lacustre DSM 10312,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,3.761451,3327,99.38,0,nif,anaerobe,2,36.4,Mesophile,7.1,Neutrophile,Freshwater,0.02,0.175257732,34,0.365591398,0.817184487
G000012485,GCF_000012485.1,Chlorobium luteolum DSM 273,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,2.364842,2198,98.91,0,nif,anaerobe,2,30.7,Mesophile,7.2,Neutrophile,Freshwater,0.04,0.170103093,34,0.365591398,0.850744831
G000297095,GCF_000297095.1,Treponema primitia ZAS-1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,3.790289,3458,98.23,1.14,anf,anaerobe,2,33.9,Mesophile,7.4,Neutrophile,Host-associated,0.02,0.097938144,36,0.387096774,0.905530298
G001432185,GCF_001432185.1,Cylindrospermopsis sp. CR12,Bacteria,Cyanobacteria,0,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,3.723955,3367,99.93,0.22,nif,aerobe,1,31.7,Mesophile,7.5,Neutrophile,Freshwater,NA,0.206185567,34,0.365591398,0.89390442
G000025905,GCF_000025905.1,Coraliomargarita akajimensis DSM 45221,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,3.750771,3146,99.77,0,nif,aerobe,1,25,Mesophile,8,Alkaliphile,Saline,0.03,0.201030928,36,0.387096774,0.828834495
G000817245,GCF_000817245.1,Methylacidiphilum kamchatkense Kam1,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,2.210643,2147,98.42,1.01,nif,aerobe,1,46.1,Thermophile,3.5,Acidophile,Hydrothermal,0,0.154639175,35,0.376344086,0.907320142
G000007985,GCF_000007985.2,Geobacter sulfurreducens PCA,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,3.814128,3417,99.35,0,nif,anaerobe,2,31.5,Mesophile,5,Acidophile,Freshwater,0.15,0.211340206,34,0.365591398,0.675792486
G900107275,GCA_900107275.1,Bacillus caseinilyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,5.872627,5210,98.67,1,nif,facultative,3,36.3,Mesophile,5.3,Acidophile,Saline,0.16,0.335051546,35,0.376344086,0.749280326
G000430625,GCF_000430625.1,Aneurinibacillus terranovensis DSM 18919,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,4.247673,4236,98.15,2.46,nif,microaerophile,4,41,Mesophile,5.3,Acidophile,Terrestrial,0.09,0.309278351,33,0.35483871,0.637282237
G001613545,GCF_001613545.1,Terrimicrobium sacchariphilum,Bacteria,Verrucomicrobia,Spartobacteria,0,0,Terrimicrobium,4.751807,4177,100,2.7,nif,anaerobe,2,30.6,Mesophile,5.8,Neutrophile,Freshwater,0.08,0.216494845,39,0.419354839,0.740113451
G001516045,GCA_001516045.1,Desulfosporosinus sp. BRH_c37,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,6.234251,5918,94.49,4.08,nif,anaerobe,2,35.9,Mesophile,5.9,Neutrophile,Terrestrial,0.03,0.201030928,35,0.376344086,0.75214278
G000517065,GCF_000517065.1,Alkaliflexus imshenetskii DSM 15055,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Alkaliflexus,4.12227,3325,96.74,1.09,nif,anaerobe,2,32.7,Mesophile,6,Neutrophile,Freshwater,0.08,0.206185567,39,0.419354839,1.128154161
G900104455,GCA_900104455.1,Dendrosporobacter quercicolus,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Dendrosporobacter,4.130502,3779,100,1.71,anf,anaerobe,2,27.5,Mesophile,6,Neutrophile,Host-associated,0.06,0.25257732,34,0.365591398,0.632280887
G000167355,GCF_000167355.1,Desulfuromonas acetoxidans DSM 684,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,3.828328,3395,97.97,2.58,nif,anaerobe,2,33.7,Mesophile,6.1,Neutrophile,Saline,0.18,0.221649485,34,0.365591398,0.723214064
G000246895,GCF_000246895.1,Clostridium arbusti SL206,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,3.970278,3704,100,0.32,vnf,anaerobe,2,35.7,Mesophile,6.3,Neutrophile,Terrestrial,0.08,0.206185567,35,0.376344086,0.845393176
G000015045,GCF_000015045.1,Pelobacter propionicus DSM 2379,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,4.241119,3814,97.17,0.86,nif,anaerobe,2,32.2,Mesophile,6.4,Neutrophile,Freshwater,0.14,0.226804124,34,0.365591398,0.739226981
G000340565,GCF_000340565.2,Nodularia spumigena CCY9414,Bacteria,Cyanobacteria,0,Nostocales,Aphanizomenonaceae,Nodularia,5.462271,4771,99.78,0.67,nif,NA,NA,33.3,Mesophile,6.5,Neutrophile,Freshwater,0.16,0.201030928,35,0.376344086,0.834609892
G001039635,GCF_001039635.1,Crocosphaera watsonii WH 0402,Bacteria,Cyanobacteria,0,Chroococcales,Aphanothecaceae,Crocosphaera,5.880358,6860,98.14,1.09,nif,aerobe,1,31,Mesophile,6.5,Neutrophile,Freshwater,0.09,0.211340206,36,0.387096774,0.862877835
G000196515,GCF_000196515.1,'Nostoc azollae' 0708,Bacteria,Cyanobacteria,0,Nostocales,Nostocaceae,Trichormus,5.486145,6570,98.89,0,nif,NA,NA,34.7,Mesophile,6.6,Neutrophile,Freshwater,0.14,0.201030928,36,0.387096774,0.837880117
G900114835,GCA_900114835.1,Methanolobus profundi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,3.1072,2921,99.84,0.65,nif,anaerobe,2,30,Mesophile,6.6,Neutrophile,Saline,0.02,0.190721649,36,0.387096774,0.840285594
G001317355,GCF_001317355.1,Oxobacter pfennigii,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Oxobacter,4.510552,4322,99.19,4.03,nif,anaerobe,2,43.2,Mesophile,6.6,Neutrophile,Host-associated,0.01,0.170103093,36,0.387096774,0.703291445
G001829785,GCA_001829785.1,Sulfurimonas sp. RIFOXYD12_FULL_33_39,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,2.342198,2330,99.59,1.02,nif,anaerobe,2,31.6,Mesophile,6.7,Neutrophile,Terrestrial,NA,0.175257732,34,0.365591398,1.01449894
G001830805,GCA_001830805.1,Sulfurimonas sp. RIFOXYD2_FULL_34_21,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,2.360463,2354,99.59,1.02,nif,anaerobe,2,31.5,Mesophile,6.7,Neutrophile,Terrestrial,NA,0.175257732,34,0.365591398,1.01449894
G000310245,GCA_000310245.1,Candidatus Sulfuricurvum sp. RIFRC-1,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,2.360313,2377,98.77,0.41,nif,microaerophile,4,28.8,Mesophile,6.7,Neutrophile,Freshwater,0.12,0.175257732,34,0.365591398,0.963847103
G001676585,GCF_001676585.1,Cylindrospermopsis raciborskii CS-505,Bacteria,Cyanobacteria,0,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,4.15926,3718,99.85,0.22,nif,aerobe,1,31.6,Mesophile,6.8,Neutrophile,Freshwater,0.11,0.201030928,35,0.376344086,0.89744533
G000016745,GCF_000016745.1,Geobacter uraniireducens Rf4,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,5.136364,4550,97.66,0,nif,NA,NA,32,Mesophile,6.8,Neutrophile,Freshwater,0.15,0.206185567,34,0.365591398,0.675012479
G001830725,GCA_001830725.1,Sulfuricurvum sp. RIFOXYD12_FULL_44_77,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,2.156479,2423,95.27,2.09,nif,anaerobe,2,28.5,Mesophile,6.8,Neutrophile,Freshwater,0.08,0.18556701,35,0.376344086,0.968864892
G000143965,GCF_000143965.1,Desulfarculus baarsii DSM 2075,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfarculus,3.655731,3297,98.71,0,nif,anaerobe,2,37.4,Mesophile,6.8,Neutrophile,Terrestrial,0,0.18556701,35,0.376344086,0.781181702
G000969905,GCF_000969905.1,Methanosarcina vacuolata Z-761,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.563885,3737,99.84,0,vnf,anaerobe,2,38.2,Mesophile,7,Neutrophile,Terrestrial,0.13,0.180412371,36,0.387096774,0.876537116
G001577565,GCA_001577565.1,Methanolobus sp. T82-4,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,2.65404,2698,97.34,0.68,nif,anaerobe,2,32.1,Mesophile,7,Neutrophile,Terrestrial,0.01,0.190721649,36,0.387096774,0.851907034
G000934745,GCF_000934745.1,Desulfonatronum thioautotrophicum,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,4.634603,4228,99.78,0.6,nif,NA,NA,35.5,Mesophile,7.1,Neutrophile,Saline,0.02,0.18556701,35,0.376344086,0.811066833
G000969945,GCF_000969945.1,Methanosarcina sp. Kolksee,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.553495,3737,99.35,0,vnf,anaerobe,2,38.3,Mesophile,7.2,Neutrophile,Terrestrial,0.13,0.170103093,36,0.387096774,0.867102493
G001858115,GCF_001858115.1,Cylindrospermopsis raciborskii CS-508,Bacteria,Cyanobacteria,0,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,3.556598,3249,97.41,2,nif,aerobe,1,31.6,Mesophile,7.4,Neutrophile,Freshwater,0.11,0.201030928,35,0.376344086,0.901835341
G000177635,GCF_000177635.2,Desulfurispirillum indicum S5,Bacteria,Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum,2.928377,2646,94.77,0,nif,anaerobe,2,28,Mesophile,7.4,Neutrophile,Saline,0,0.18556701,36,0.387096774,0.640957369
G000175835,GCF_000175835.1,Cylindrospermopsis raciborskii CS-505,Bacteria,Cyanobacteria,0,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,3.87903,3515,99.85,0,nif,NA,NA,31.6,Mesophile,7.5,Neutrophile,Freshwater,0.11,0.201030928,35,0.376344086,0.899137708
G001858125,GCF_001858125.1,Cylindrospermopsis raciborskii MVCC14,Bacteria,Cyanobacteria,0,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,3.594524,3331,97.74,0.44,nif,aerobe,1,32.7,Mesophile,7.5,Neutrophile,Freshwater,0.11,0.206185567,35,0.376344086,0.895982843
G000019665,GCF_000019665.1,Methylacidiphilum infernorum V4,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,2.287145,2109,98.65,0.34,nif,NA,NA,60,Thermophile,2,Acidophile,Hydrothermal,0,0.154639175,36,0.387096774,0.902204516
